學年度,設立別,學校類別,學校代碼,學校名稱,學期別,起始日期,結束日期,性質,類別,對象,說明
107,公立,一般大學,5,國立成功大學,1,2018/8/1,2019/1/31,行政,學期開始,師生,第一學期開始
107,公立,一般大學,5,國立成功大學,1,2018/8/17,2018/8/29,學籍,註冊(繳費),學生,(17-29) 第一學期新生繳交學雜費
107,公立,一般大學,5,國立成功大學,1,2018/8/17,2018/9/10,學籍,註冊(繳費),學生,(8/17-9/10) 第一學期舊生繳交學雜費
107,公立,一般大學,5,國立成功大學,1,2018/8/20,2018/8/27,課程,選課,學生,(20-27)第二階段網路選課(暫訂)
107,公立,一般大學,5,國立成功大學,1,2018/8/23,2018/8/27,課程,選課,學生,(23-27)新生開始選課(暫訂)
107,公立,一般大學,5,國立成功大學,1,2018/8/29,2018/9/4,考試,語文能力,學生,(8/29-9/4)新生英語能力分級測驗檢定
107,公立,一般大學,5,國立成功大學,1,2018/8/31,2018/9/1,行政,宿舍進住,學生,(1/31-2/1)宿舍新生進住
107,公立,一般大學,5,國立成功大學,1,2018/9/3,2018/9/14,行政,學雜費減免,學生,(3-14)新生學雜費減免申請。
107,公立,一般大學,5,國立成功大學,1,2018/9/4,2018/9/4,活動,新生活動,學生,(4)住宿新生講習
107,公立,一般大學,5,國立成功大學,1,2018/9/5,2018/9/7,活動,新生活動,學生,(5-7)新生導航：成功登大人
107,公立,一般大學,5,國立成功大學,1,2018/9/7,2018/9/8,行政,宿舍進住,學生,(7-8)舊生宿舍進住
107,公立,一般大學,5,國立成功大學,1,2018/9/10,2018/9/10,課程,選課,學生,(10)開始上課復學生、當學年度轉學(系)生註冊選課
107,公立,一般大學,5,國立成功大學,1,2018/9/10,2018/9/13,行政,就學貸款,學生,(10-13)就學貸款收件
107,公立,一般大學,5,國立成功大學,1,2018/9/10,2018/9/14,行政,學雜費減免,學生,(10-14)復(轉)學生學雜費減免申請。
107,公立,一般大學,5,國立成功大學,1,2018/9/10,2018/9/14,課程,選課,學生,(10-14)系辦選課、復學生、當學年轉學(系)生註冊選課
107,公立,一般大學,5,國立成功大學,1,2018/9/10,2018/9/28,課程,選課,學生,(28)學分抵免申請止
107,公立,一般大學,5,國立成功大學,1,2018/9/10,2018/10/19,學籍,註冊(含繳費/退費),學生,(10/19)休退學學費退2/3截止日
107,公立,一般大學,5,國立成功大學,1,2018/9/17,2018/9/20,課程,選課,學生,(17-20)第三階段網路選課(暫訂)
107,公立,一般大學,5,國立成功大學,1,2018/9/21,2018/9/27,課程,選課,學生,(21-27)特殊因素選課(暫訂)
107,公立,一般大學,5,國立成功大學,1,2018/9/24,2018/9/24,假日,國定假日,教職員生,(24)中秋節(放假)
107,公立,一般大學,5,國立成功大學,1,2018/9/28,2018/10/2,課程,選課,學生,(9/28-10/2)上網確認選課資料(暫訂)
107,公立,一般大學,5,國立成功大學,1,2018/9/28,2018/11/23,課程,選課,學生,(9/27-11/23)大學部及研究所(含專班)退選截止
107,公立,一般大學,5,國立成功大學,1,2018/10/1,2018/10/15,行政,助學金申請,學生,(1-15)大專校院弱勢助學金申請作業。
107,公立,一般大學,5,國立成功大學,1,2018/10/8,2019/1/4,活動,課業輔導,學生,(10/8-1/4)學生課業輔導活動
107,公立,一般大學,5,國立成功大學,1,2018/10/10,2018/10/10,假日,國定假日,教職員生,(10)國慶日(放假)
107,公立,一般大學,5,國立成功大學,1,2018/10/19,2018/11/2,學籍,註冊(繳費),學生,(10/19-11/2) 第二階段學分費繳費
107,公立,一般大學,5,國立成功大學,1,2018/10/20,2018/11/30,學籍,註冊(含繳費/退費),學生,(11/30)休退學學費退1/3截止日
107,公立,一般大學,5,國立成功大學,1,2018/10/22,2018/10/22,活動,座談,學生,(22)學務長與學生座談會
107,公立,一般大學,5,國立成功大學,1,2018/11/11,2018/11/11,活動,校園活動,教職員生,(11)校慶【師生108年4月1日補假】
107,公立,一般大學,5,國立成功大學,1,2018/12/17,2018/12/17,活動,座談,學生,(17)校長與學生座談會
107,公立,一般大學,5,國立成功大學,1,2018/12/17,2019/1/6,課程,教學意見調查,學生,(12/17-1/6)教學意見反應調查
107,公立,一般大學,5,國立成功大學,1,2018/12/22,2018/12/22,行政,補上班,教職員生,(22)補行上班(12月31日調整放假)
