id,rating,title,date,content
Professor Nishanth,5,"An outstanding refresh of the base Kindle at an affordable price
","April 15, 2019","Original review: April 15, 2019, and two updates at the end of this review (April 16, 2019, and April 18, 2019)ORIGINAL REVIEW: April 15, 2019 (4/5 stars)UPDATED REVIEW: April 18, 2019 (5/5 stars)For background information, I am a professor and a tech geek. I have used Amazon devices for around eight years now. I currently own three Kindle e-readers (1 Kindle Touch, 1 Kindle Paperwhite 3rd generation, and 1 Kindle 10). I also own four Amazon Fire tablets (2015 Fire 7 -5th generation, 2019 Fire 7 – 9th generation, 2017 Fire HD 8 - 7th generation and 2018 Fire HD 8 –8th generation). Please note that I have traded-in some of the dated versions of the above-listed products to get upgraded versions (more on this under the “Saving Money on Purchases” section).Below is my summary of the “all-new Kindle” (Kindle 10th generation). I have spent the past few days playing around with the Kindle, reading from it, and reading other online reviews about this version to ensure the comprehensiveness and accuracy of information provided in this review. For reference purposes, this Kindle model was last refreshed in 2016. This model is the lowest-end basic flagship model of the Kindle e-reader.THE BOX: The Kindle device, a quick-start guide, and a USB cord. The item arrived sealed well. Please note that Amazon does not provide a wall adapter. Also, the Kindle box is smaller than the Paperwhite box.Availability: Black and White are the base colors variants. Additionally, Kindle fabric covers can be purchased for $29.99 in 4 different colors: Charcoal Black, Cobalt Blue, Punch Red, and Sandstone White from Amazon. I wouldn’t recommend these overpriced covers. There are several other quality and aesthetically pleasing covers that can be found on Amazon that are affordable, well rated, and function better.Summary of key aspects that have changed:- Price increase of $10 from the prior version- An adjustable backlight composed of 4 LEDs that helps readers with reading both indoors and outdoors. I love this feature. This feature alone justifies the additional $10 price increase in my opinion.- Updated design- Latest e-ink technology for better contrast that helps makes the text crisper. The text is crisper than prior version (see images) but not as crisp as higher end models.Things that have not changed from prior Kindle model:- Battery life remains the same- Charge time remains the same- Glare-free display- Option to hear Audible books through Bluetooth headphones or speakers.- Screen size remains the same at 6 inch- Storage remains the same at 4GB- Warranty remains the same: 1-year limited warranty and service along with product purchase. An additional warranty should be separately purchased if deemed necessary.Technical specs:- 167 pixel per inch (PPI) capacitive touch display (please note that though the PPI value remains the same as the prior model, there is sharper contrast because of the new e-ink technology used in the newer model)- 6-inch screen- Bluetooth- LED(s): 4 LED- Storage: 4 GB- Size: 6.3” x 4.5” x 0.34” (160 x 113 x 8.7 mm). As compared to the prior model, there is a 2mm reduction in width and 4 mm reduction in depth/height).- Weight: 6.1 oz (As compared to prior Kindle 8, there is a 0.4 oz increase in weight).Comparison between Kindle 10 (this version – 2019 release) referred to as Kindle below and Kindle Paperwhite (10th generation-2018 release – mid-tier model):- Charge: Kindle holds 4 weeks of charge while Kindle Paperwhite holds 6 weeks of charge- Connectivity: Kindle only has Wi-Fi option while Kindle Paperwhite offers Wi-Fi or Wi-Fi + Cellular Connectivity- Cost: Kindle costs $89.99 while Kindle Paperwhite costs $129.99 though previous sales were present that offered the item for $89.99 which can be stacked (please read below section on saving money for Kindle purchases)- LEDs: Kindle has 4 LEDs while Kindle Paperwhite has 5 LEDs- PPI: Kindle has 167 PPI while Kindle Paperwhite has 300 PPI- Water resistance: Kindle has no IPX8-rating (basically not water-resistant) while Kindle Paperwhite has the IPX8-rating (i.e., it allows submersion in 2 meters of fresh water for up to one hour).- Storage: Kindle offers 4GB storage while Kindle Paperwhite offers additional storage (8 GB or 32 GB)- Design: Kindle doesn’t have the flush front design while Kindle Paperwhite does Display size: remains the same (6 inches).-Total size: Even though the display size (previously mentioned) remains the same the specs of the items are different. Kindle: 10 6.3” x 4.5” x 0.34” (160 x 113 x 8.7 mm) while Kindle Paperwhite: 6.6” x 4.6” x 0.3” (167 x 116 x 8.18 mm).- Weight: Kindle 10 weighs 6.1 oz while Kindle Paperwhite Wi-Fi: 6.4 oz (182 g) Wi-Fi + Free Cellular Connectivity: 6.8 oz (191 g).I have refrained from comparing the Kindle Oasis in this review with the Kindle 10 because it is the highest-end model and if a consumer is looking at this model, then it is highly unlikely they are considering the Kindle Oasis. Besides, the Kindle Oasis costs around 3 times the amount of the Kindle 10 and 2 times the cost of the Kindle Paperwhite. Consequently, it would not be a fair and/or necessary comparison for this review.Some useful features on Kindle readers (not a comprehensive list):- Accessibility features: VoiceView screen reader (works through Bluetooth audio) and provides directions to help visually impaired readers to navigate through the device and read books with text-to-speech (this feature is only available in the English language). Additionally, to help visually impaired readers, Kindle also includes the ability to adjust the font size, font face, line spacing, and margins.- Smart Lookup (quickly check the default dictionary). The default, New Oxford American Dictionary and Oxford Dictionary of English (both from Oxford University Press).- Supports the following content formats: Kindle Format 8 (AZW3), Kindle (AZW), TXT, PDF, unprotected MOBI, PRC natively; HTML DOC, DOCX, JPEG, GIF, PNG, PMP through conversion; Audible audio format (AAX).- Users can review Wikipedia to understand word meanings better.- Integration with Goodreads (Amazon-owned book database).- Option to highlight words on the screen- Pdf and word documents can be sent to Kindle through email after a Kindle-specific email address is created.- Provides the option to share word or texts and additional commentary by the user.- Add a note regarding the word.- Translate a word from English to 16 languages.- Whispersync (sync progress across Kindle devices and apps)- X-Ray tool, which provides detailed information on key content in the book (i.e. “bones of the book”).Testing:Speed: Comparable to prior modelsWi-Fi: I was able to connect to the Wi-Fi network and use the experiential browser without any technical difficulties. The process was pretty straightforward.Saving money on purchasing the Kindle:- The initial purchase with a promo discount entitles you to a free 3-month Kindle Unlimited subscription ($29.97 value). After 3-months subscription will auto-renew at $9.99 (this promo discount can be taken out at any point in time). This makes this purchase a worthwhile purchase with additional savings.- The cost for the Kindle will be $109.99 (without special offers). Customers can also disable special offers later by paying $20 if they purchase the Kindle with special offers ($89). Personally, I would recommend going the route of getting the special offers and then disabling it. The special offers only appear when the Kindle is locked/asleep and are non-intrusive. I have 6 kindles all of which have special offers and have never had an issue. However, if the user does not like the special offers, you can purchase the $89 kindle and then remove the special offers (which might probably end up saving you a few dollars because there are no taxes for disabling offers).- Customers should also know that they can easily trade-in their prior Kindle for Amazon gift cards ($5-$25) and also receive a 25% discount towards their new Kindle.- My recommendation would be to purchase this item during a sale event (for instance, Amazon Prime day is coming up in July). The customer can get around $30 off, and then stack the trade-in and the 25% discount to get this item for a minimal cost (maybe you can snag it for $30-$40 if everything is applied correctly). However, one thing to keep in mind is that Amazon might decide to remove the trade-in gift card and 25% discount at any point.Conclusion:To sum up, my review, this is the base version of the Kindle. No bells and whistles, but it does the job. I absolutely love the Kindle LEDs in this model. It makes a world of difference for night reading specifically when my family is in bed, and I don’t have to get up to turn on/off the house lamp and make a ton of noise. The bottom line is that the Kindle e-readers are incontestably the best e-readers currently in the market. This Kindle follows in the same trajectory as prior versions.April 16, 2019:  UPDATE # 1I would personally recommend the Kindle Paperwhite (mid-tier model) as opposed to this Kindle 10 (the model reviewed) for a few more dollars. This can be purchased after following the cost-saving suggestions previously listed. My reasons are several other features like higher resolution (300 PPI vs. 167 PPI), more LEDs (5 vs. 4), water resistance (IPX-8 rating), larger storage (8 or 32 GB), and a cellular option for higher-end models will give the edge for customers looking for more options. However, the Kindle 10 does well for a base entry model.April 18, 2019:  UPDATE # 2After additional testing, I have given the Kindle 10, 5/5 stars in my review (instead of the initial 4/5 stars). I did consider docking down ½ a star for no increase of PPI for this version (167 PPI). However, please note that the e-ink quality has significantly improved and the LEDs make a world of difference, so this is Kindle is much better (factoring in reader comfort and quality) than the prior Kindle model even though both have the same PPI. Besides, this is the base version. What more can one expect for $89? Additionally, please note that the PPI is not a big issue for those that don’t regularly use the device for reviewing images, graphs, pictures, manga, illustrations, etc. Please review my picture (uploaded) comparison between text of the Kindle Paperwhite 3rd gen and Kindle 10 for comparison purposes. It is hard to see any distinction on a cursory observation.Please also note that several resources were used in the compilation of this review, but most of this review was based on my personal testing of the product.Whenever I make any purchase, I try to do a thorough and accurate job with the review. My reviews are my honest and comprehensive assessment of the product. I always post future updates and corrections based on new information if deemed necessary. Additionally, I always include photos of products to verify both that I purchased this product and to back up appropriate claims in the review.
"
Beverly K,3,"Base Kindle gets an upgrade
","April 15, 2019","The pros: I like that you have a choice of colors and that it comes with a front light. It's small and easy to carry around. If you've never had a Kindle before or never had one higher than the base, you won't notice the 167 ppi difference between it and the Paperwhite and the Oasis.The cons: If, however, you're like me and you have an Oasis, you'll immediately notice how much less crisp the letters and pictures are.Don't get me wrong. It's a good price for a starter Kindle, especially with lights now. For someone who's looking for the best reading experience they can get without spending too much money, it's a good choice.However, for a few dollars more, they can get a Paperwhite with better resolution, waterproofing, and more storage (2x more for the base Paperwhite model).So what should you get? If you're more concerned with saving money, go for the Kindle Basic. Otherwise, about thirty dollars more gets you a big improvement.
"
Gwaredd Thomas,1,"Lower ppi - Not good.
","April 15, 2019","I wouldn't purchase this product for the following reason: my 3rd Gen. Kindle has 300 ppi and this supposed ""new"" one has only 167 ppi so what gives?
"
Lynn,5,"Greatly Improved Basic Kindle
","April 15, 2019","Don't buy into the petty negative reviews. The improvements to the basic Kindle are great! I've been reading on mine the past several days and I'm extremely impressed. The lighting is the brightest, whitest and most even I've seen. It's comfortable to hold, easy to read, and just as responsive as my Oasis and my husband's Paperwhite. Highly recommend!
"
A.B.,4,"Pleasant updates to the ""base"" Kindle
","April 15, 2019","I had a Kindle touch years ago and had stopped using it. But I want to be able to focus on reading and not pop-ups from other apps so I bought this new Kindle to avoid the distractions of reading on my phone.The device is smaller than both my original Kindle touch and my husband's Kindle Paperwhite. I was able to quickly get connect to the internet and begin downloading Kindle books I checked out via Overdrive. The device can be held in one hand comfortably, and it's lightweight enough to feel quite portable without appearing flimsy.This Kindle has some buggy-feeling holdovers from previous generations: occasional leftover pixels during page/screen pages. However, I find the touch screen to be responsive without being jumpy. The bottom/power button sometimes takes an extra push to activate, or perhaps just needs me to focus a bit more. I don't mind the ""special offers"" and generally ignore them completely, yes, this is a generally annoying feature, but I'd rather spend that $20 on books. The backlight can be adjusted to read outdoors or in your bedroom in the dark (handy if your partner nags about keeping a booklight on).Another reviewer commented on the PPI. Personally, as I don't use the device for pictures/illustrations/detailed charts, I frankly don't care. The images that appear in the special offers are clear enough, and the default sized print is crisp and clean and I have no issues reading without my glasses. If you frequently read books that are illustration/graphic-heavy, you may prefer a Paperwhite or other device.I'll adjust my review if my sentiments change but for now I am very happy with my new Kindle.
"
Karen E.,4,"Not too bad!
","April 15, 2019","I've been reading on this for a few days now.  It's a little bit smaller than my regular Paperwhite, but the size doesn't bother me any.  I like the smaller size.  I purchased it without special offers as I don't need to see all of that. I'm an avid reader and read A LOT.  I haven't noticed a difference in battery life between this and my Paperwhite.  I have to charge that one daily too.  As I said, I read A LOT.  The front lighting is awesome.  I love that.  Comparing this one with my Paperwhite together with all the settings set, all the same, this one is a little brighter.  The only complaint I have is that when I touch the screen to change the page, I end up having to touch it twice to get the page to turn.  I'm hoping an upgrade will fix this.  All in all, I do like this one a lot.  It isn't perfect, but I do like it.Update:  05/04/2018:Still sticking with my previous review.  Battery update:  If you want to make your battery last longer, I recommend going through your device settings and reading options settings and turning every off that you aren't interested in.  Whispersync?  Turn it off.  I saved a lot of battery life by turning this off alone.  Word Wise, vocabulary builder - all turned off unless you're interested in using those features.  Reading options,  I only have the Page refresh turned on.  All other features are turned off.  Highlight menu - I turned all of that off.  Brightness level - I have that turned down to 12.  I hope this helps.  I noticed quite a difference when I turned some of this stuff off.Update:  07/02/2019:Just wanted to drop a note that there has been an update since I purchased this and it did indeed fix the touchscreen issue I was having.  I rarely have to touch the screen twice to get the page to turn now.  It's much better than it used to be.
"
CR,5,"First Time Kindle User
","April 15, 2019","This is the first Kindle I have ever owned or used for more than a couple seconds. My current employer actually told me to pick one up, and I could have chosen any Kindle I wanted. After reviewing the choices I decided to purchase this one, despite it being the cheapest. Honestly, I’m quite thankful.I wanted something of a small size, and a device that would be comfortable and easy to hold with both or either individual hand. I do not need to store a million books, nor do I plan to read in a river, or while taking a shower. If that changes, then I’ll update you on the water resistance of this device ;)As far as the actual devices goes, it is a nice size, capable of shoving into a small pocket in a bag, and is easy for me to palm and hold in a variety of ways. It is extremely light, and I could easily hold this for hours. The touch screen is responsive and flipping pages is easier and faster than I anticipated, while also avoidable when just holding the Kindle to read. I was hesitant about the lack of physical buttons, and although I still wished they were present (e.g. on the sides), I lack no confidence that they will soon be forgotten. Since I read a good bit of technical books, and like to take notes, I was wondering how well this would function. Although typing up paragraphs would be challenging, I was pleasantly surprised with the responsiveness. I will probably leave shorter notes and markers on my Kindle and elaborate more when on a computer or tablet. Although it is certainly not a smartphone or computer, it superseded my expectations.I do not have experiences to compare against, being my first Kindle, nonetheless the screen itself is bright and clear, whites being a light gray, and blacks being… well, dark. I did not find an option to invert the colors (font white, background black), which was unfortunate. I also find it odd the power button is on the bottom. I definitely foresee this being bumped while resting against a surface. At this point, I am also a bit disappointed this does not use USB-C. I am guessing Amazon is saving this for a newer, more expensive device, but honestly, I feel all devices like this moving forward really should have this.Having freedom in my choice here, I am thankful I chose this Kindle variant, and given the price point, I am doubtful anyone would complain once they held it in their hands. Any shortcomings I do have, and minor and I am doubtful they will be an ongoing annoyance. Definitely recommend.
"
Joseph S. Agerkis,3,"skips pages
","April 15, 2019","This is a problem I have with other Kindles including Paperwhite and Fire. Every 10 pgs or so instead of going to next pg it skips 2 or more pgs or sometimes freezes altogether. Wish this could be corrected. Very annoying.
"
Joanne,5,"Great basic Kindle — no bells, no whistles, just books
","April 15, 2019","I held on to my first-gen touchscreen Kindle for a long time because the Paperwhite and Oasis upgrades had more features than I need and often were poorly reviewed. So I jumped on this new lighted version of the basic. Pleasantly surprised with the lighted screen, battery life (I read in Airplane mode), and smaller overall size with the same screen size. If you’re looking for a way to carry your books with you everywhere you go, this is the best deal.
"
Fixedgear60,5,"Everything you need and nothing you don't
","April 16, 2019","I have owned multiple kindles, paperwhite (returned due to blurry screen), Voyage  and latest Oasis.  This is my favorite of the bunch.  Screen is crisp (no extra layer of glass) 167dpi is fine for long form reading.  If I need high def/color ... use my ipad. Grey scale images and text are crisp.  This is the lightest and smallest kindle to date which is the most important feature along with backlighting that is even.  I have set the backlighting to a comfortable lighting for evening reading (and forget)  and during the day rely on wonderful reflective screen for a more natural reading experience.  The kindle is very responsive and at a wonderful price that you do not mind bringing it everywhere and do not worry about loosing it.Well done amazon!!!!
"
